Process ID	Waiting Time	Turnaround Time	Completion Time
2	0	1	1
47	1	5	5
89	2	5	8
46	4	10	14
81	10	17	21
5	16	26	31
97	26	34	39
51	33	40	46
26	38	43	51
50	43	51	59
9	49	57	67
53	56	58	69
96	58	61	72
44	60	65	77
55	64	70	83
90	69	71	85
32	68	71	88
59	71	78	95
54	76	86	105
76	86	88	107
14	87	95	115
27	94	99	120
41	99	103	124
83	99	107	132
1	104	114	142
18	112	118	148
78	118	121	151
8	120	128	159
93	128	133	164
10	131	136	169
67	136	145	178
21	144	147	181
91	144	149	186
95	149	152	189
7	149	153	193
79	152	156	197
6	155	156	198
72	156	162	204
65	161	171	214
36	170	180	224
52	180	188	232
15	183	189	238
38	189	190	239
12	188	189	240
31	189	195	246
33	193	201	254
45	201	210	263
71	209	219	273
61	218	219	274
92	219	227	282
43	226	230	286
48	230	236	292
11	235	238	295
64	238	243	300
57	242	245	303
60	245	249	307
70	249	256	314
30	255	260	319
23	258	264	325
88	264	273	334
28	272	280	342
39	280	290	352
58	290	294	356
16	293	295	358
25	295	302	365
63	301	309	373
22	307	317	383
74	317	320	386
75	320	322	388
20	321	328	395
37	327	334	402
49	334	343	411
3	342	349	418
34	349	353	422
99	352	358	428
42	357	360	431
86	358	361	434
13	360	369	443
35	369	377	451
85	376	381	456
98	380	386	462
24	385	392	469
56	392	401	478
80	399	405	484
87	404	414	494
84	412	416	498
73	415	425	508
17	422	426	512
29	426	429	515
82	428	435	522
40	433	434	523
69	434	437	526
4	435	443	534
94	443	446	537
66	445	447	539
19	445	446	540
77	446	454	548
100	450	457	555
62	456	457	556
68	456	458	558

ARRIVAL TIMES: [28, 0, 69, 91, 5, 42, 40, 31, 10, 33, 57, 51, 74, 20, 49, 63, 86, 30, 94, 67, 34, 66, 61, 77, 63, 8, 21, 62, 86, 59, 51, 17, 53, 69, 74, 44, 68, 49, 62, 89, 21, 71, 56, 12, 53, 4, 0, 56, 68, 8, 6, 44, 11, 19, 13, 77, 58, 62, 17, 58, 55, 99, 64, 57, 43, 92, 33, 100, 89, 58, 54, 42, 83, 66, 66, 19, 94, 30, 41, 79, 4, 87, 25, 82, 75, 73, 80, 61, 3, 14, 37, 55, 31, 91, 37, 11, 5, 76, 70, 98]

BURST TIMES: [10, 1, 7, 8, 10, 1, 4, 8, 8, 5, 3, 1, 9, 8, 6, 2, 4, 6, 1, 7, 3, 10, 6, 7, 7, 5, 5, 8, 3, 5, 6, 3, 8, 4, 8, 10, 7, 1, 10, 1, 4, 3, 4, 5, 9, 6, 4, 6, 9, 8, 7, 8, 2, 10, 6, 9, 3, 4, 7, 4, 1, 1, 8, 5, 10, 2, 9, 2, 3, 7, 10, 6, 10, 3, 2, 2, 8, 3, 4, 6, 7, 7, 8, 4, 5, 3, 10, 9, 3, 2, 5, 8, 5, 3, 3, 3, 8, 6, 6, 7]
Average Turnaround Time: 234.33
Average Waiting Time: 228.75
Standard deviation of waiting times: 138,8594523250038
Standard deviation of turnaround times: 138,76390416819495

Process ID	Waiting Time	Turnaround Time	Completion Time
43	0	2	2
59	2	5	5
89	5	8	8
15	7	17	18
73	17	27	28
83	27	28	29
9	26	33	36
17	33	40	43
7	38	39	44
90	39	41	46
61	39	48	55
69	47	54	62
77	54	61	69
2	59	64	74
40	64	69	79
98	69	71	81
28	69	71	83
33	71	75	87
49	75	79	91
58	79	87	99
68	87	97	109
88	97	98	110
26	97	105	118
23	102	109	125
35	109	111	127
21	110	116	133
38	116	121	138
55	120	123	141
16	121	129	149
44	127	128	150
84	128	134	156
10	132	134	158
45	134	139	163
31	138	142	167
51	141	142	168
93	142	148	174
29	147	151	178
72	151	153	180
91	153	161	188
11	160	162	190
32	162	163	191
30	161	171	201
25	166	175	210
60	175	180	215
85	180	187	222
65	186	193	229
50	192	193	230
86	193	201	238
5	200	210	248
34	210	212	250
54	212	217	255
22	216	222	261
47	222	226	265
81	222	224	267
52	221	231	277
100	231	236	282
63	235	238	285
27	236	243	292
37	243	248	297
62	248	255	304
66	254	256	306
