Waiting Time	Turnaround Time	Completion Time
0	1	1
1	5	5
0	8	13
0	6	19
0	2	21
0	4	25
0	8	33
0	5	38
1	4	41
0	4	45
1	9	53
0	8	61
0	6	67
0	7	74
0	8	82
0	4	86
0	3	89
0	1	90
1	4	93
1	3	95
1	2	96
2	10	104
4	6	106
7	8	107
9	16	114
23	26	117
26	34	125
38	45	132
46	50	136
53	63	146
66	76	156
77	83	162
85	92	169
92	101	178
102	108	184
109	114	189
115	124	198
125	128	201
130	133	204
134	140	210
141	145	214
145	152	221
153	160	228
160	169	237
171	173	239
173	176	242
176	186	252
188	196	260
197	199	262
199	206	269
207	211	273
211	219	281
219	229	291
230	239	300
241	246	305
247	250	308
250	254	312
254	261	319
262	265	322
265	270	327
271	275	331
275	281	337
282	283	338
283	291	346
292	302	356
303	312	365
314	315	366
315	321	372
323	324	373
324	330	379
335	345	389
346	356	399
357	358	400
358	364	406
366	370	410
373	378	415
381	384	418
385	394	427
396	401	432
401	409	440
410	413	443
413	419	449
421	431	459
438	443	464
444	452	472
453	463	482
465	468	485
468	475	492
478	480	494
482	487	499
488	490	501
490	493	504
494	502	512
504	509	517
509	517	525
519	526	532
527	537	542
538	544	548
544	551	555
552	555	558

ARRIVAL TIMES: [28, 0, 69, 91, 5, 42, 40, 31, 10, 33, 57, 51, 74, 20, 49, 63, 86, 30, 94, 67, 34, 66, 61, 77, 63, 8, 21, 62, 86, 59, 51, 17, 53, 69, 74, 44, 68, 49, 62, 89, 21, 71, 56, 12, 53, 4, 0, 56, 68, 8, 6, 44, 11, 19, 13, 77, 58, 62, 17, 58, 55, 99, 64, 57, 43, 92, 33, 100, 89, 58, 54, 42, 83, 66, 66, 19, 94, 30, 41, 79, 4, 87, 25, 82, 75, 73, 80, 61, 3, 14, 37, 55, 31, 91, 37, 11, 5, 76, 70, 98]

BURST TIMES: [10, 1, 7, 8, 10, 1, 4, 8, 8, 5, 3, 1, 9, 8, 6, 2, 4, 6, 1, 7, 3, 10, 6, 7, 7, 5, 5, 8, 3, 5, 6, 3, 8, 4, 8, 10, 7, 1, 10, 1, 4, 3, 4, 5, 9, 6, 4, 6, 9, 8, 7, 8, 2, 10, 6, 9, 3, 4, 7, 4, 1, 1, 8, 5, 10, 2, 9, 2, 3, 7, 10, 6, 10, 3, 2, 2, 8, 3, 4, 6, 7, 7, 8, 4, 5, 3, 10, 9, 3, 2, 5, 8, 5, 3, 3, 3, 8, 6, 6, 7]
Average Turnaround Time: 222.13
Average Waiting Time: 216.55
Standard deviation of waiting times: 180.0153535118602
Standard deviation of turnaround times: 180.3195860132781

Waiting Time	Turnaround Time	Completion Time
0	2	2
1	2	3
0	7	10
0	2	12
0	1	13
0	8	21
1	9	29
1	2	30
0	10	40
1	5	44
1	3	46
0	5	51
0	2	53
0	2	55
4	14	65
0	3	68
1	5	72
1	5	76
0	2	78
1	10	87
1	7	93
0	9	102
2	9	109
10	16	115
19	22	118
23	27	122
27	36	131
37	40	134
42	52	144
53	58	149
60	61	150
61	69	158
70	80	168
83	87	172
88	90	174
90	93	177
95	98	180
98	103	185
104	108	189
110	111	190
111	113	192
113	118	197
123	129	203
130	136	209
139	142	212
145	151	218
154	160	224
162	172	234
174	178	238
179	182	241
184	187	244
194	196	246
197	202	251
202	209	258
209	216	265
218	221	268
222	232	278
239	245	284
246	248	286
248	253	291
253	263	301
264	265	302
265	273	310
274	281	317
282	287	322
287	294	329
294	303	338
310	312	340
313	315	342
315	319	346
319	327	354
328	329	355
329	335	361
336	340	365
341	343	367
343	348	372
350	351	373
351	357	379
361	364	382
365	370	387
370	376	393
377	379	395
379	386	402
390	392	404
392	396	408
396	400	412
400	408	420
408	418	430
420	425	435
425	430	440
432	439	447
439	446	454
447	456	463
458	459	464
459	461	466
463	470	473
472	482	483
482	492	493
493	496	496
496	499	499

ARRIVAL TIMES: [82, 10, 84, 99, 38, 84, 5, 100, 3, 24, 28, 65, 64, 89, 1, 20, 3, 85, 95, 67, 17, 39, 16, 53, 35, 13, 49, 12, 27, 30, 25, 28, 12, 38, 16, 71, 49, 17, 82, 10, 57, 62, 0, 22, 24, 81, 39, 51, 12, 37, 26, 46, 79, 38, 18, 86, 92, 12, 0, 35, 7, 49, 47, 94, 36, 50, 59, 12, 8, 73, 60, 27, 1, 89, 93, 67, 8, 96, 70, 79, 43, 91, 1, 22, 35, 37, 77, 12, 0, 5, 27, 95, 26, 79, 51, 88, 76, 10, 74, 46]

BURST TIMES: [3, 5, 2, 6, 10, 3, 1, 7, 7, 2, 2, 3, 6, 8, 10, 8, 7, 4, 4, 6, 6, 6, 7, 2, 9, 8, 7, 2, 4, 10, 4, 1, 4, 2, 2, 4, 5, 5, 5, 5, 3, 10, 2, 1, 5, 4, 4, 10, 4, 1, 1, 10, 5, 5, 3, 6, 10, 8, 3, 5, 9, 7, 3, 3, 7, 2, 3, 10, 7, 6, 4, 2, 10, 1, 9, 4, 7, 3, 3, 2, 2, 5, 1, 6, 7, 8, 9, 1, 3, 2, 8, 9, 6, 1, 2, 10, 2, 2, 6, 5]
Average Turnaround Time: 200.51
Average Waiting Time: 195.52
Standard deviation of waiting times: 163.18783533094617
Standard deviation of turnaround times: 163.39452224600433

Waiting Time	Turnaround Time	Completion Time
0	3	3
0	2	5
1	5	9
0	2	11
3	12	20
0	7	27
2	5	30
6	7	31
0	3	34
1	8	41
1	4	44
0	9	53
1	9	61
0	1	62
0	6	68
0	9	77
1	8	84
0	3	87
0	7	94
0	5	99
0	9	108
8	16	116
18	19	117
19	26	124
27	29	126
29	31	128
31	35	132
35	40	137
40	46	143
48	53	148
55	63	156
64	66	158
66	69	161
71	72	162
73	83	172
84	93	181
95	100	186
103	111	194
113	114	195
117	126	204
126	135	213
139	140	214
141	143	216
143	148	221
149	157	229
158	162	233
163	170	240
172	181	249
182	192	259
193	197	263
197	202	268
202	207	273
210	216	279
218	226	287
226	235	296
235	245	306
246	249	309
252	261	318
262	263	319
263	265	321
267	272	326
276	279	329
279	283	333
284	289	338
289	296	345
297	299	347
300	302	349
302	305	352
307	316	361
318	327	370
328	333	375
333	342	384
342	352	394
356	357	395
357	363	401
364	370	407
375	382	414
383	391	422
398	401	425
401	406	430
406	416	440
418	424	446
424	432	454
433	439	460
442	447	465
447	456	474
457	462	479
462	472	489
474	479	494
479	489	504
490	498	512
499	502	515
502	506	519
507	513	525
513	520	532
528	533	537
535	542	544
543	548	549
549	554	554
554	564	564

ARRIVAL TIMES: [88, 24, 15, 98, 42, 71, 4, 74, 70, 32, 50, 92, 100, 81, 68, 4, 90, 56, 84, 0, 18, 76, 63, 78, 47, 33, 56, 66, 17, 17, 49, 67, 9, 95, 42, 3, 24, 52, 73, 60, 0, 18, 54, 8, 48, 31, 97, 37, 97, 38, 98, 78, 1, 40, 43, 0, 61, 97, 57, 83, 12, 45, 62, 97, 61, 73, 93, 22, 15, 31, 42, 61, 49, 13, 24, 25, 61, 94, 12, 13, 50, 14, 22, 20, 89, 66, 44, 2, 87, 86, 72, 21, 97, 99, 92, 47, 66, 68, 38, 24]

BURST TIMES: [9, 5, 10, 1, 10, 4, 5, 1, 7, 7, 3, 2, 8, 1, 9, 4, 1, 2, 3, 10, 9, 7, 6, 9, 2, 7, 1, 4, 10, 5, 7, 10, 2, 5, 9, 2, 10, 8, 5, 3, 5, 5, 5, 9, 2, 3, 4, 6, 2, 1, 7, 9, 5, 3, 9, 3, 8, 6, 9, 8, 6, 9, 6, 2, 1, 2, 8, 8, 5, 8, 5, 10, 5, 3, 3, 3, 9, 5, 7, 4, 4, 8, 6, 7, 10, 5, 9, 7, 7, 5, 8, 6, 5, 9, 3, 3, 5, 9, 6, 1]
Average Turnaround Time: 217.71
Average Waiting Time: 212.07
Standard deviation of waiting times: 180.7066824995689
Standard deviation of turnaround times: 181.24074017725707

Waiting Time	Turnaround Time	Completion Time
0	3	5
0	10	15
0	5	20
0	5	25
0	2	27
0	4	31
0	1	32
0	3	35
2	4	37
0	4	41
0	3	44
1	8	51
0	1	52
0	10	62
1	2	63
2	6	67
0	5	72
0	1	73
0	1	74
1	3	76
1	3	78
1	5	82
0	2	84
1	2	85
0	6	91
1	10	100
2	8	106
8	18	116
19	27	124
27	35	132
36	39	135
39	42	138
42	47	143
48	57	152
59	62	155
62	69	162
70	73	165
73	83	175
88	96	183
97	103	189
108	115	196
115	125	206
127	132	211
136	140	215
140	150	225
150	160	235
164	172	243
174	176	245
177	182	250
183	193	260
194	202	268
203	206	271
206	214	279
215	219	283
222	227	288
227	233	294
234	238	298
238	246	306
249	253	310
253	258	315
260	265	320
266	270	324
271	274	327
277	284	334
288	290	336
290	292	338
293	296	341
302	303	342
303	309	348
309	315	354
315	324	363
325	334	372
336	344	380
347	355	388
356	364	396
365	368	399
369	374	404
374	384	414
385	388	417
390	394	421
398	402	425
402	411	434
412	416	438
417	426	447
427	433	453
439	441	455
443	446	458
451	452	459
452	460	467
462	472	477
473	477	481
477	481	485
481	488	492
488	497	501
498	501	504
501	509	512
509	517	520
517	526	529
527	537	539
537	547	549

